872420481  41 1 -1 -1.49032
872420609  42 1 -1 -1.49366
872420737  43 1 -1 -1.4967
872420865  44 1 -1 -1.49941
872420993  45 1 -1 -1.5018
872421121  46 1 -1 -1.50244
872421249  47 1 -1 -1.50386
872421377  48 1 -1 -1.50493
872421505  49 1 -1 -1.50567
872421633  50 1 -1 -1.50606
872421761  51 1 -1 -1.5049
872421889  52 1 -1 -1.50454
872422017  53 1 -1 -1.50384
872422145  54 1 -1 -1.50279
872422273  55 1 -1 -1.50141
872422401  56 1 -1 -1.50081
872422529  57 1 -1 -1.49845
872422657  58 1 -1 -1.49577
872422785  59 1 -1 -1.49278
872422913  60 1 -1 -1.48946
872420482  41 2 -1 -1.50912
872420610  42 2 -1 -1.5126
872420738  43 2 -1 -1.51575
872420866  44 2 -1 -1.51856
872420994  45 2 -1 -1.52104
872421122  46 2 -1 -1.52178
872421250  47 2 -1 -1.52326
872421378  48 2 -1 -1.52438
872421506  49 2 -1 -1.52515
872421634  50 2 -1 -1.52556
872421762  51 2 -1 -1.52438
872421890  52 2 -1 -1.52401
872422018  53 2 -1 -1.52327
872422146  54 2 -1 -1.52219
872422274  55 2 -1 -1.52074
872422402  56 2 -1 -1.52004
872422530  57 2 -1 -1.5176
872422658  58 2 -1 -1.51482
872422786  59 2 -1 -1.5117
872422914  60 2 -1 -1.50826
872420483  41 3 -1 -1.52828
872420611  42 3 -1 -1.53189
872420739  43 3 -1 -1.53517
872420867  44 3 -1 -1.53809
872420995  45 3 -1 -1.54067
872421123  46 3 -1 -1.54152
872421251  47 3 -1 -1.54305
872421379  48 3 -1 -1.54423
872421507  49 3 -1 -1.54502
872421635  50 3 -1 -1.54545
872421763  51 3 -1 -1.54426
872421891  52 3 -1 -1.54387
872422019  53 3 -1 -1.5431
872422147  54 3 -1 -1.54197
872422275  55 3 -1 -1.54046
872422403  56 3 -1 -1.53966
872422531  57 3 -1 -1.53712
872422659  58 3 -1 -1.53423
872422787  59 3 -1 -1.53099
872422915  60 3 -1 -1.52742
872419844  36 4 -1 -1.52494
872419972  37 4 -1 -1.53061
872420100  38 4 -1 -1.53599
872420228  39 4 -1 -1.54105
872420356  40 4 -1 -1.5458
872420484  41 4 -1 -1.5478
872420612  42 4 -1 -1.55156
872420740  43 4 -1 -1.55497
872420868  44 4 -1 -1.55801
872420996  45 4 -1 -1.56069
872421124  46 4 -1 -1.56165
872421252  47 4 -1 -1.56326
872421380  48 4 -1 -1.56448
872421508  49 4 -1 -1.56531
872421636  50 4 -1 -1.56576
872421764  51 4 -1 -1.56454
872421892  52 4 -1 -1.56414
872422020  53 4 -1 -1.56334
872422148  54 4 -1 -1.56216
872422276  55 4 -1 -1.56059
872422404  56 4 -1 -1.55967
872422532  57 4 -1 -1.55703
872422660  58 4 -1 -1.55403
872422788  59 4 -1 -1.55066
872422916  60 4 -1 -1.54694
872423044  61 4 -1 -1.54498
872423172  62 4 -1 -1.54027
872423300  63 4 -1 -1.53524
872423428  64 4 -1 -1.5299
872423556  65 4 -1 -1.52427
872419845  36 5 -1 -1.54381
872419973  37 5 -1 -1.5497
872420101  38 5 -1 -1.55528
872420229  39 5 -1 -1.56054
872420357  40 5 -1 -1.56547
872420485  41 5 -1 -1.56771
872420613  42 5 -1 -1.57162
872420741  43 5 -1 -1.57517
872420869  44 5 -1 -1.57834
872420997  45 5 -1 -1.58112
872421125  46 5 -1 -1.5822
872421253  47 5 -1 -1.58388
872421381  48 5 -1 -1.58515
872421509  49 5 -1 -1.58602
872421637  50 5 -1 -1.58649
872421765  51 5 -1 -1.58526
872421893  52 5 -1 -1.58483
872422021  53 5 -1 -1.584
872422149  54 5 -1 -1.58277
872422277  55 5 -1 -1.58113
872422405  56 5 -1 -1.5801
872422533  57 5 -1 -1.57735
872422661  58 5 -1 -1.57422
872422789  59 5 -1 -1.57072
872422917  60 5 -1 -1.56684
872423045  61 5 -1 -1.56465
872423173  62 5 -1 -1.55976
872423301  63 5 -1 -1.55454
872423429  64 5 -1 -1.549
872423557  65 5 -1 -1.54314
872418566  26 6 -1 -1.48761
872418694  27 6 -1 -1.4968
872418822  28 6 -1 -1.50582
872418950  29 6 -1 -1.51466
872419078  30 6 -1 -1.52329
872419206  31 6 -1 -1.52735
872419334  32 6 -1 -1.53525
872419462  33 6 -1 -1.5429
872419590  34 6 -1 -1.55029
872419718  35 6 -1 -1.55739
872419846  36 6 -1 -1.56069
872419974  37 6 -1 -1.56689
872420102  38 6 -1 -1.57277
872420230  39 6 -1 -1.57831
872420358  40 6 -1 -1.5835
872420486  41 6 -1 -1.5858
872420614  42 6 -1 -1.58994
872420742  43 6 -1 -1.59369
872420870  44 6 -1 -1.59703
872420998  45 6 -1 -1.59998
872421126  46 6 -1 -1.6011
872421254  47 6 -1 -1.60289
872421382  48 6 -1 -1.60425
872421510  49 6 -1 -1.60517
872421638  50 6 -1 -1.60567
872421766  51 6 -1 -1.60441
872421894  52 6 -1 -1.60395
872422022  53 6 -1 -1.60307
872422150  54 6 -1 -1.60175
872422278  55 6 -1 -1.6
872422406  56 6 -1 -1.59893
872422534  57 6 -1 -1.59603
872422662  58 6 -1 -1.59272
872422790  59 6 -1 -1.58902
872422918  60 6 -1 -1.58493
872423046  61 6 -1 -1.58267
872423174  62 6 -1 -1.57752
872423302  63 6 -1 -1.57203
872423430  64 6 -1 -1.56619
872423558  65 6 -1 -1.56003
872423686  66 6 -1 -1.55677
872423814  67 6 -1 -1.5497
872423942  68 6 -1 -1.54236
872424070  69 6 -1 -1.53474
872424198  70 6 -1 -1.52688
872424326  71 6 -1 -1.52285
872424454  72 6 -1 -1.51425
872424582  73 6 -1 -1.50545
872424710  74 6 -1 -1.49646
872424838  75 6 -1 -1.48729
872418567  26 7 -1 -1.50416
872418695  27 7 -1 -1.51366
872418823  28 7 -1 -1.52299
872418951  29 7 -1 -1.53212
872419079  30 7 -1 -1.54106
872419207  31 7 -1 -1.54553
872419335  32 7 -1 -1.55372
872419463  33 7 -1 -1.56166
872419591  34 7 -1 -1.56932
872419719  35 7 -1 -1.5767
872419847  36 7 -1 -1.58035
872419975  37 7 -1 -1.5868
872420103  38 7 -1 -1.59292
872420231  39 7 -1 -1.59868
872420359  40 7 -1 -1.60408
872420487  41 7 -1 -1.60664
872420615  42 7 -1 -1.61095
872420743  43 7 -1 -1.61486
872420871  44 7 -1 -1.61836
872420999  45 7 -1 -1.62142
872421127  46 7 -1 -1.62268
872421255  47 7 -1 -1.62455
872421383  48 7 -1 -1.62597
872421511  49 7 -1 -1.62695
872421639  50 7 -1 -1.62746
872421767  51 7 -1 -1.62618
872421895  52 7 -1 -1.6257
872422023  53 7 -1 -1.62478
872422151  54 7 -1 -1.6234
872422279  55 7 -1 -1.62157
872422407  56 7 -1 -1.62037
872422535  57 7 -1 -1.61734
872422663  58 7 -1 -1.61389
872422791  59 7 -1 -1.61003
872422919  60 7 -1 -1.60576
872423047  61 7 -1 -1.60325
872423175  62 7 -1 -1.5979
872423303  63 7 -1 -1.59217
872423431  64 7 -1 -1.5861
872423559  65 7 -1 -1.57969
872423687  66 7 -1 -1.57609
872423815  67 7 -1 -1.56875
872423943  68 7 -1 -1.56113
872424071  69 7 -1 -1.55323
872424199  70 7 -1 -1.54507
872424327  71 7 -1 -1.54064
872424455  72 7 -1 -1.53174
872424583  73 7 -1 -1.52263
872424711  74 7 -1 -1.51334
872424839  75 7 -1 -1.50386
872418568  26 8 -1 -1.52091
872418696  27 8 -1 -1.53073
872418824  28 8 -1 -1.54038
872418952  29 8 -1 -1.54983
872419080  30 8 -1 -1.55908
872419208  31 8 -1 -1.56399
872419336  32 8 -1 -1.57249
872419464  33 8 -1 -1.58073
872419592  34 8 -1 -1.58869
872419720  35 8 -1 -1.59635
872419848  36 8 -1 -1.60037
872419976  37 8 -1 -1.60708
872420104  38 8 -1 -1.61345
872420232  39 8 -1 -1.61946
872420360  40 8 -1 -1.62508
872420488  41 8 -1 -1.62791
872420616  42 8 -1 -1.63242
872420744  43 8 -1 -1.6365
872420872  44 8 -1 -1.64014
872421000  45 8 -1 -1.64335
872421128  46 8 -1 -1.64475
872421256  47 8 -1 -1.64671
872421384  48 8 -1 -1.6482
872421512  49 8 -1 -1.64921
872421640  50 8 -1 -1.64975
872421768  51 8 -1 -1.64845
872421896  52 8 -1 -1.64795
872422024  53 8 -1 -1.64698
872422152  54 8 -1 -1.64554
872422280  55 8 -1 -1.64362
872422408  56 8 -1 -1.64228
872422536  57 8 -1 -1.63912
872422664  58 8 -1 -1.63552
872422792  59 8 -1 -1.63149
872422920  60 8 -1 -1.62703
872423048  61 8 -1 -1.62425
872423176  62 8 -1 -1.61867
872423304  63 8 -1 -1.61271
872423432  64 8 -1 -1.60639
872423560  65 8 -1 -1.59972
872423688  66 8 -1 -1.59575
872423816  67 8 -1 -1.58813
872423944  68 8 -1 -1.58021
872424072  69 8 -1 -1.57201
872424200  70 8 -1 -1.56355
872424328  71 8 -1 -1.55868
872424456  72 8 -1 -1.54946
872424584  73 8 -1 -1.54004
872424712  74 8 -1 -1.53043
872424840  75 8 -1 -1.52063
872417929  21 9 -1 -1.4883
872418057  22 9 -1 -1.49935
872418185  23 9 -1 -1.5103
872418313  24 9 -1 -1.52114
872418441  25 9 -1 -1.53186
872418569  26 9 -1 -1.53786
872418697  27 9 -1 -1.54801
872418825  28 9 -1 -1.55799
872418953  29 9 -1 -1.56778
872419081  30 9 -1 -1.57736
872419209  31 9 -1 -1.58274
872419337  32 9 -1 -1.59156
872419465  33 9 -1 -1.60011
872419593  34 9 -1 -1.60838
872419721  35 9 -1 -1.61635
872419849  36 9 -1 -1.62076
872419977  37 9 -1 -1.62775
872420105  38 9 -1 -1.63439
872420233  39 9 -1 -1.64065
872420361  40 9 -1 -1.64651
